Station,Year,Month,Precipitation
LYN614,1990,1,1.4
LYN614,1990,2,4.03
LYN614,1990,3,0.86
LYN614,1990,4,3.36
LYN614,1990,5,4.17
LYN614,1990,6,0.92
LYN614,1990,7,0.79
LYN614,1990,8,2.16
LYN614,1990,9,1.87
LYN614,1990,10,0.9
LYN614,1990,11,11.03
LYN614,1990,12,0.01
LYN614,1991,1,5.52
LYN614,1991,2,7.0
LYN614,1991,3,4.08
LYN614,1991,4,4.9
LYN614,1991,5,1.67
LYN614,1991,6,1.84
LYN614,1991,7,7.39
LYN614,1991,8,2.52
LYN614,1991,9,3.3
LYN614,1991,10,3.95
LYN614,1991,11,2.76
LYN614,1991,12,4.98
LYN614,1992,1,4.8
LYN614,1992,2,9.49
LYN614,1992,3,1.99
LYN614,1992,4,5.73
LYN614,1992,5,1.78
LYN614,1992,6,4.78
LYN614,1992,7,3.18
LYN614,1992,8,3.68
LYN614,1992,9,0.9
LYN614,1992,10,1.86
LYN614,1992,11,1.53
LYN614,1992,12,6.41
LYN614,1993,1,5.8
LYN614,1993,2,2.56
LYN614,1993,3,1.52
LYN614,1993,4,6.39
LYN614,1993,5,3.12
LYN614,1993,6,10.67
LYN614,1993,7,2.11
LYN614,1993,8,2.86
LYN614,1993,9,3.38
LYN614,1993,10,2.06
LYN614,1993,11,1.9
LYN614,1993,12,4.72
LYN614,1994,1,1.52
LYN614,1994,2,1.57
LYN614,1994,3,7.55
LYN614,1994,4,2.04
LYN614,1994,5,1.19
LYN614,1994,6,4.35
LYN614,1994,7,6.66
LYN614,1994,8,3.77
LYN614,1994,9,3.19
LYN614,1994,10,6.62
LYN614,1994,11,2.22
LYN614,1994,12,2.13
LYN614,1995,1,2.4
LYN614,1995,2,3.93
LYN614,1995,3,1.54
LYN614,1995,4,4.59
LYN614,1995,5,5.84
LYN614,1995,6,2.52
LYN614,1995,7,2.89
LYN614,1995,8,4.49
LYN614,1995,9,0.45
LYN614,1995,10,1.4
LYN614,1995,11,5.04
LYN614,1995,12,1.45
LYN614,1996,1,0.72
LYN614,1996,2,1.72
LYN614,1996,3,3.3
LYN614,1996,4,1.44
LYN614,1996,5,1.01
LYN614,1996,6,0.81
LYN614,1996,7,6.42
LYN614,1996,8,2.04
LYN614,1996,9,2.37
LYN614,1996,10,2.58
LYN614,1996,11,0.87
LYN614,1996,12,2.16
LYN614,1997,1,2.59
LYN614,1997,2,1.99
LYN614,1997,3,3.45
LYN614,1997,4,5.51
LYN614,1997,5,0.92
LYN614,1997,6,5.05
LYN614,1997,7,2.15
LYN614,1997,8,8.59
LYN614,1997,9,4.77
LYN614,1997,10,3.27
LYN614,1997,11,3.88
LYN614,1997,12,1.12
LYN614,1998,1,5.77
LYN614,1998,2,1.35
LYN614,1998,3,0.8
LYN614,1998,4,3.34
LYN614,1998,5,1.35
LYN614,1998,6,12.68
LYN614,1998,7,1.8
LYN614,1998,8,4.15
LYN614,1998,9,5.0
LYN614,1998,10,8.55
LYN614,1998,11,2.0
LYN614,1998,12,0.85
LYN614,1999,1,3.89
LYN614,1999,2,1.13
LYN614,1999,3,2.41
LYN614,1999,4,3.86
LYN614,1999,5,1.51
LYN614,1999,6,0.85
LYN614,1999,7,1.66
LYN614,1999,8,
LYN614,1999,9,
LYN614,1999,10,2.38
LYN614,1999,11,5.75
LYN614,1999,12,2.27
LYN614,2000,1,1.44
LYN614,2000,2,4.3
LYN614,2000,3,1.81
LYN614,2000,4,10.37
LYN614,2000,5,1.64
LYN614,2000,6,2.93
LYN614,2000,7,3.98
LYN614,2000,8,3.83
LYN614,2000,9,1.24
LYN614,2000,10,0.36
LYN614,2000,11,3.63
LYN614,2000,12,1.96
LYN614,2001,1,1.93
LYN614,2001,2,5.7
LYN614,2001,3,0.98
LYN614,2001,4,2.88
LYN614,2001,5,2.75
LYN614,2001,6,2.74
LYN614,2001,7,0.79
LYN614,2001,8,19.05
LYN614,2001,9,0.36
LYN614,2001,10,4.9
LYN614,2001,11,8.21
LYN614,2001,12,3.77
LYN614,2002,1,6.35
LYN614,2002,2,1.18
LYN614,2002,3,0.62
LYN614,2002,4,13.5
LYN614,2002,5,3.67
LYN614,2002,6,4.24
LYN614,2002,7,5.83
LYN614,2002,8,3.01
LYN614,2002,9,5.42
LYN614,2002,10,5.07
LYN614,2002,11,12.5
LYN614,2002,12,2.2
LYN614,2003,1,4.48
LYN614,2003,2,2.41
LYN614,2003,3,5.53
LYN614,2003,4,2.48
LYN614,2003,5,3.9
LYN614,2003,6,
LYN614,2003,7,8.8
LYN614,2003,8,4.97
LYN614,2003,9,2.34
LYN614,2003,10,1.65
LYN614,2003,11,1.61
LYN614,2003,12,2.23
LYN614,2004,1,5.06
LYN614,2004,2,1.01
LYN614,2004,3,2.01
LYN614,2004,4,7.84
LYN614,2004,5,2.7
LYN614,2004,6,2.13
LYN614,2004,7,3.99
LYN614,2004,8,5.25
LYN614,2004,9,2.5
LYN614,2004,10,4.39
LYN614,2004,11,8.7
LYN614,2004,12,2.9
LYN614,2005,1,2.17
LYN614,2005,2,4.1
LYN614,2005,3,3.44
LYN614,2005,4,2.78
LYN614,2005,5,4.4
LYN614,2005,6,7.06
LYN614,2005,7,4.59
LYN614,2005,8,4.64
LYN614,2005,9,4.1
LYN614,2005,10,0.12
LYN614,2005,11,1.71
LYN614,2005,12,1.54
LYN614,2006,1,3.96
LYN614,2006,2,0.85
LYN614,2006,3,2.11
LYN614,2006,4,3.07
LYN614,2006,5,1.45
LYN614,2006,6,0.78
LYN614,2006,7,1.66
LYN614,2006,8,6.45
LYN614,2006,9,1.63
LYN614,2006,10,2.22
LYN614,2006,11,4.49
LYN614,2006,12,4.02
LYN614,2007,1,1.36
LYN614,2007,2,2.33
LYN614,2007,3,1.84
LYN614,2007,4,4.18
LYN614,2007,5,6.19
LYN614,2007,6,1.48
LYN614,2007,7,3.47
LYN614,2007,8,0.93
LYN614,2007,9,6.78
LYN614,2007,10,5.32
LYN614,2007,11,2.14
LYN614,2007,12,4.12
LYN614,2008,1,2.49
LYN614,2008,2,5.38
LYN614,2008,3,2.66
LYN614,2008,4,1.44
LYN614,2008,5,3.69
LYN614,2008,6,2.81
LYN614,2008,7,10.12
LYN614,2008,8,1.83
LYN614,2008,9,4.26
LYN614,2008,10,3.12
LYN614,2008,11,3.43
LYN614,2008,12,1.37
LYN614,2009,1,0.4
LYN614,2009,2,3.83
LYN614,2009,3,1.78
LYN614,2009,4,2.13
LYN614,2009,5,4.85
LYN614,2009,6,1.09
LYN614,2009,7,2.65
LYN614,2009,8,2.93
LYN614,2009,9,2.75
LYN614,2009,10,0.68
LYN614,2009,11,18.23
LYN614,2009,12,0.66
LYN614,2010,1,4.66
LYN614,2010,2,7.79
LYN614,2010,3,3.88
LYN614,2010,4,6.5
LYN614,2010,5,1.02
LYN614,2010,6,0.99
LYN614,2010,7,13.18
LYN614,2010,8,3.24
LYN614,2010,9,4.34
LYN614,2010,10,8.08
LYN614,2010,11,3.2
LYN614,2010,12,5.0
LYN614,2011,1,4.55
LYN614,2011,2,12.96
LYN614,2011,3,2.24
LYN614,2011,4,5.3
LYN614,2011,5,2.41
LYN614,2011,6,5.89
LYN614,2011,7,3.07
LYN614,2011,8,3.35
LYN614,2011,9,3.27
LYN614,2011,10,
LYN614,2011,11,3.01
LYN614,2011,12,1.22
LYN614,2012,1,2.26
LYN614,2012,2,10.85
LYN614,2012,3,2.86
LYN614,2012,4,5.24
LYN614,2012,5,2.91
LYN614,2012,6,3.27
LYN614,2012,7,0.86
LYN614,2012,8,2.01
LYN614,2012,9,3.94
LYN614,2012,10,3.1
LYN614,2012,11,0.33
LYN614,2012,12,1.27
LYN614,2013,1,1.83
LYN614,2013,2,2.76
LYN614,2013,3,5.36
LYN614,2013,4,4.35
LYN614,2013,5,3.72
LYN614,2013,6,3.26
LYN614,2013,7,6.08
LYN614,2013,8,2.97
LYN614,2013,9,8.95
LYN614,2013,10,4.79
LYN614,2013,11,1.34
LYN614,2013,12,4.07
LYN614,2014,1,2.04
LYN614,2014,2,2.22
LYN614,2014,3,5.62
LYN614,2014,4,2.65
LYN614,2014,5,0.75
LYN614,2014,6,7.24
LYN614,2014,7,2.7
LYN614,2014,8,1.55
LYN614,2014,9,4.15
LYN614,2014,10,6.91
LYN614,2014,11,2.48
LYN614,2014,12,4.52
LYN614,2015,1,8.15
LYN614,2015,2,2.89
LYN614,2015,3,2.72
LYN614,2015,4,4.04
LYN614,2015,5,3.5
LYN614,2015,6,3.94
LYN614,2015,7,4.75
LYN614,2015,8,6.9
LYN614,2015,9,3.36
LYN614,2015,10,3.35
LYN614,2015,11,7.07
LYN614,2015,12,0.75
LYN614,2016,1,1.99
LYN614,2016,2,2.6
LYN614,2016,3,3.71
LYN614,2016,4,1.81
LYN614,2016,5,3.58
LYN614,2016,6,4.02
LYN614,2016,7,1.89
LYN614,2016,8,3.84
LYN614,2016,9,2.26
LYN614,2016,10,4.68
LYN614,2016,11,2.16
LYN614,2016,12,2.67
LYN614,2017,1,4.3
LYN614,2017,2,3.13
LYN614,2017,3,1.61
LYN614,2017,4,3.07
LYN614,2017,5,2.09
LYN614,2017,6,4.36
LYN614,2017,7,8.24
LYN614,2017,8,1.75
LYN614,2017,9,4.92
LYN614,2017,10,1.71
LYN614,2017,11,6.47
LYN614,2017,12,6.62
LYN614,2018,1,3.29
LYN614,2018,2,2.89
LYN614,2018,3,2.36
LYN614,2018,4,2.49
LYN614,2018,5,1.16
LYN614,2018,6,1.15
LYN614,2018,7,3.5
LYN614,2018,8,3.02
LYN614,2018,9,12.52
LYN614,2018,10,1.85
LYN614,2018,11,2.94
LYN614,2018,12,3.45
LYN614,2019,1,8.46
LYN614,2019,2,2.44
LYN614,2019,3,1.01
LYN614,2019,4,4.41
LYN614,2019,5,1.34
LYN614,2019,6,2.43
LYN614,2019,7,3.96
LYN614,2019,8,1.69
LYN614,2019,9,1.73
LYN614,2019,10,2.46
LYN614,2019,11,3.23
LYN614,2019,12,1.91
